entity_id,alias,canonical
jvc7twrye56epq2,Magezi Construction Co.,Magezi Construction Co.
nske6rp5seyr1m1,Magazi Construction,Magezi Construction Co.
4gbpeenisbjjqpg,South African Cities Network [Chairman],SOUTH AFRICAN CITIES NETWORK
ese6jpoqgmowkx6,Ordinary Board Member,Ordinary Board Member
pa0p3k36s2bk61c,Whiphold Mining Activity,Whiphold Mining Activity
ig5ambi79g7wmqe,Nokwanda Housing,NOKWANDA HOUSING
mcv3blkrctmp051,Zukile Luyenge,Zukile Luyenge
dlu7n53ostffj0i,Nyama nyama Emnandi Supplies,NYAMA NYAMA EMNANDI SUPPLIES
h3drjlczczaagfl,Westside Trading 767 (Pty) Ltd,Westside Trading 767 (Pty) Ltd
loqavghrfq3l5it,Intercontinental Sustainability and Growth Logistics Institute,INTERCONTINENTAL SUSTAINABILITY AND GROWTH LOGISTICS INSTITUTE
k828s6tug1b7g6b,Allied Technologies,ALLIED TECHNOLOGIES
bgn8bga7zq69cia,Mthatha City Football Club and School of Excellency,Mthatha City Football Club and School of Excellency
lw4x2glapbnk0fa,Tarra Cherra Enterprises,Tarra Cherra Enterprises
kw7d3ai58izwdba,Chairman of SA Cities Network,SOUTH AFRICAN CITIES NETWORK
ljzozinj2nna1w9,Isioa Taradi Tourism,Isioa Taradi Tourism
h25j9l4azjkvsi6,TP Hentiq 6037 (Pty) Ltd,TP Hentiq 6037 (Pty) Ltd
hmgr72udhw8qfuc,Non Ex Director : Electrical Disribution Forum SA Trading 170 (Pty) Ltd,Non Ex Director : Electrical Disribution Forum SA Trading 170 (Pty) Ltd
ovpmeenvbznp0r5,Forum SA [Director],Forum SA
e7gviewom53ox5m,Umkhankaso Ikapa Investments,UMKHANKASO IKAPA INVESTMENTS
ot2v7160zql5h9w,Asonge,Asonge
cvk4b5hd2cbdbo9,Brahmandela Farm,BRAHMANDELA FARM
h1iueig4z0e281o,YFML,YFML
jgaqru8fsbqhh6w,Lavelilanga Institute for Children and Youth Development,Lavelilanga Institute for Children and Youth Development
iveb27b6btas0cw,Beyond 2010 Courier Services,Beyond 2010 Courier Services
bo4dpipsgqmg1dn,White Water Resources Ltd,White Water Resources Ltd.
mj2k61bfyxxisom,Nampak Ltd,NAMPAK
dmht0gqvsrloji4,Nampak Ltd Ord.,NAMPAK
iulo5flsu0v3gs7,Sanlam,SANLAM
oqrcs7ntr6kzvcq,Tel Free,TELFREE HOLDINGS
jijvsc21nzvprbh,Beat The Clock Investment,BEAT THE CLOCK INVESTMENTS
e9nnvw5boy3rkid,Holomisa Investment,HOLOMISA INVESTMENTS
kxeec1limqjpj6n,UNIGAS,UNIGAS
braz4qaz93nugfd,M-Net Phuthuma,M-Net Phuthuma
c0fb7hsp3nn0y3h,Strat-Equity [Dormant],StratEquity
n1523myvbxn69cw,Stanlib Money Market,Stanlib Money Market
czr765is0njipzq,The Blue Pages,The Blue Pages
knorib2xfbzofra,Siera Maintenance [Not active],Sierra Maintenance
kegw3sz26gs16cj,Udumo Trading 279 [Not active],Udumo Trading 279
dkpu3tgydu3f4fp,Aubrey Dundubala Mokoena,Aubrey Dundubala Mokoena
i682zokxzk8uxpd,Udumo Trading 279,Udumo Trading 279
jm4pfcannxmrswk,Ebaleni Property Holdings,Ebaleni Property Holdings
eosdfky28flp2bh,Arron Cecil Steyn,Arron Cecil Steyn
ce2459dkg66zuty,Annelizé van Wyk,Annelizé van Wyk
ngihoo9oqkbq945,Satrix,Satrix
h1s0h0kulnx7v5z,"Investec, Standard Bank","Investec, Standard Bank"
erfmh97uav70dz7,Unigas Import,Unigas Import
gsrys0r6noh955q,Baleni Property Holding,Baleni Property Holding
fqxt2f3l46o5hbj,Group Ltd,Group Ltd
fkzfcfpg93qbcfp,Nedgroup Investments Global Balanced,Nedgroup Investments Global Balanced
onr8mcmpt0wwm97,Funds,Funds
o9f6vwqmamwff2u,Liberty Life,Liberty Life
fk32aj5zv1ohe1n,Eden In Africa Farm (Pty) Ltd,Eden in Africa Farm (Pty) Ltd
jpw80zhicdkqhyj,Full Swing Trading 405,Full Swing Trading 405
jd31yq0d3xihld6,Mawetho General Maintenance,Mawetho General Maintenance
j39yedmit3sovmj,Motse Aya Trading,Motse Aya Trading
peluxu77bnc4npn,Desert Wind Properties,DESERT WIND PROPERTIES 149
mym5sleeotyk5r5,Phutuma Nathi,Phuthuma Nathi
nkf3pw51rll24gd,Standard Bank,STANDARD BANK GROUP
ohoyhodualxdw9c,Yizani,Yizani
d3efobfwtbbdfsu,Unigas,UNIGAS
bdhy31063itz8ho,Sirius Opticom [SAS],Sirius Opticom [SAS]
ku8whb6a5vjfol3,Sierra Maintenance,Sierra Maintenance
gws5lb1af4wfh27,Mawetho General Maintenance [Not active],Mawetho General Maintenance
di3ngl5tcuog1g6,CITI CONNECT,Citi Connect
ol9xxiqb1f280jy,Holomisa Investments,HOLOMISA INVESTMENTS
jyjk7ocm9x6uz6j,Beat The Clock Investments,BEAT THE CLOCK INVESTMENTS
it8u5hqjfpcfi1b,Nampak ltd,NAMPAK
h1fkmurpe4f8m6c,Methold,Methold
dguqqq5zw4wdy9a,Glacier,Glacier
g0ngf2sa9xja72o,Southern Storm Properties 72,Southern Storm Properties 72
k83h8yurz55ro5k,Miaya Construction,Miaya Construction
kvez00nm92d53eq,Motswile Trading [Not active],MOTSWILE TRADING
layz56y7li9zthl,Ampy Investment [Not active],Ampy Investment
g68kf35660dwp4d,Motse-Aya Trading,Motse Aya Trading
eyoiv039hyg4bzm,Kopanong/City Civil (Pty) Ltd,Kopanong/City Civil (Pty) Ltd
22hikrajrny3w00,SIRIUS/OPTICOM,SIRIUS/OPTICOM
kawvj0lbzpk1rur,Beatrice Thembekile Ngcobo,Beatrice Thembekile Ngcobo
jp7nmzw3w1iq9tu,Bertha Peace Mabe,Bertha Peace Mabe
k0f9owxxexkz2zu,Media 24 Holdings,Media 24 Holdings
paq2bdue5s7dszl,Allan Gray Stable Balanced Fund,Allan Gray Stable Fund
gdjxmj6v7xcegqs,"Investec, Stanlib, Nedgroup","Investec, Stanlib, Nedgroup"
gvp69ijvoqk63lm,Miaya Construction [Not active],Miaya Construction
