Status,TelephoneNumber,AlphaCode,Branches,RoleDescription,CustomerAlphaCode,FaxNumber,MasterID,EmailAddress,RegistrationNumber,LongName,PostalAddress,source_url,NatureOfBusiness,PhysicalAddress,Website
Suspended,+27 11 063 2347,AFR,,Equity Issuer,AFR,+27 87 942 5010,1905,afgri@afgri.co.za,1995/004030/06,AFGRI LIMITED,PO Box 11054     CENTURION 0046,https://www.jse.co.za/current-companies/listed-companies/issuer-profile?issuermasterid=1905,,12 Byls Bridge Boulevard Highveld Ext 73    CENTURION 0157,http://www.afgri-ir.co.za
Current,+27 11 350 4000,ABSAB,,Equity Issuer,ABSA,+27 11 350 4009,2320,groupsec@absa.co.za,1986/004794/06,ABSA BANK LIMITED,PO Box 7735     JOHANNESBURG 2000,https://www.jse.co.za/current-companies/listed-companies/issuer-profile?issuermasterid=2320,,"7th Floor, Absa Towers West 15 Troye Street    JOHANNESBURG 2001",http://www.absa.co.za
Current,,E&Y,,Audit Firm,E&Y,,3680,,908201,ERNST & YOUNG INC,,https://www.jse.co.za/current-companies/listed-companies/issuer-profile?issuermasterid=2320,,,
Current,,PWCIA,,Audit Firm,PWCIA,,3688,,901121,PRICEWATERHOUSECOOPERS INC,,https://www.jse.co.za/current-companies/listed-companies/issuer-profile?issuermasterid=2320,,,
Current,+27 11 507 0300,SPJPM,,Sponsor,AM,+27 11 507 0351,790,ruben.x.govender@jpmorgan.com,1995/011815/07,JP Morgan Equities Ltd,Private Bag X9936     Sandton 2146,https://www.jse.co.za/current-companies/listed-companies/issuer-profile?issuermasterid=2320,,1  Fricker Road Cnr Fricker  and Hurlingham Road Illovo   Sandton 2196,http://www.jpmorgan.com
Current,+27 011 3707865,CSIS,,Transfer Secretary,CSIS,+27 011 8386496,843,,2004/003647/07,Computershare Investor Services (Pty) Ltd,P O BOX 62053     Marshalltown 2107,https://www.jse.co.za/current-companies/listed-companies/issuer-profile?issuermasterid=2320,,,
Suspended,+27 11 086 8100,1TM,,Equity Issuer,1TM,+27 86 649 2712,2496,info@1timeholdings.co.za,1999/017536/06,1TIME HOLDINGS LIMITED,PO Box 7110 BONAERO PARK    BONAERO PARK 1622,https://www.jse.co.za/current-companies/listed-companies/issuer-profile?issuermasterid=2496,"1time is a diversified aviation group with the following focus areas: an airline, and aircraft maintenance business and charter business.  It intends launching an airfreight business within the next three years.",Unit D2 Isando Industrial Park Hulley Road   ISANDO 1600,http://www.1timeholdingslimited.co.za
Current,,NSTA,,Audit Firm,NSTA,,3677,,921297,NEXIA SAB & T,,https://www.jse.co.za/current-companies/listed-companies/issuer-profile?issuermasterid=2496,,,
Current,+27 11 325 6363,MER,,Sponsor,MER,+27 11 325 6362,2636,info@merchantec.co.za,2008/014219/07,MERCHANTEC CAPITAL,PO Box 41480 Craighall    Johannesburg 2024,https://www.jse.co.za/current-companies/listed-companies/issuer-profile?issuermasterid=2496,,"2nd Floor, North Block Hyde Park Office Towers Cnr 6th Road & Jan Smuts Avenue   Hyde Park 2196",http://www.merchantec.co.za
Current,+27 011 3707865,CSIS,,Transfer Secretary,CSIS,+27 011 8386496,843,,2004/003647/07,Computershare Investor Services (Pty) Ltd,P O BOX 62053     Marshalltown 2107,https://www.jse.co.za/current-companies/listed-companies/issuer-profile?issuermasterid=2496,,,
