SourceName,Role,TargetName
ERNST & YOUNG INC,Audit Firm,ABSA BANK LIMITED
PRICEWATERHOUSECOOPERS INC,Audit Firm,ABSA BANK LIMITED
JP Morgan Equities Ltd,Sponsor,ABSA BANK LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,ABSA BANK LIMITED
NEXIA SAB & T,Audit Firm,1TIME HOLDINGS LIMITED
MERCHANTEC CAPITAL,Sponsor,1TIME HOLDINGS LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,1TIME HOLDINGS LIMITED
KPMG Services (Pty) Ltd,Sponsor,ACCELERATE PROPERTY FUND LTD
Computershare Investor Services (Pty) Ltd,Transfer Secretary,ACCELERATE PROPERTY FUND LTD
RSM BETTY & DICKSON,Audit Firm,ADRENNA PROPERTY GROUP LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,ADRENNA PROPERTY GROUP LIMITED
ABSA CAPITAL,Debt Sponsor,ABSA BANK LIMITED
RAND MERCHANT BANK,Debt Sponsor,ADCORP HOLDINGS LIMITED
Transfer Secretaries,Transfer Secretary,ADCORP HOLDINGS LIMITED
ERNST & YOUNG INC,Audit Firm,ADCOCK INGRAM HOLDINGS LIMITED
Deutsche Securities SA (Pty) Ltd,Sponsor,ADCOCK INGRAM HOLDINGS LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,ADCOCK INGRAM HOLDINGS LIMITED
KPMG INCORPORATED,Audit Firm,A E C I LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,A E C I LIMITED
Mazars Inc.,Audit Firm,ACCENTUATE LIMITED
Bridge Capital Advisors (Pty) Ltd,Designated Advisor,ACCENTUATE LIMITED
Link Market Services SA (Pty) Ltd,Transfer Secretary,AFRICAN BANK INVESTMENTS LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,ACCENTUATE LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,ABSA CAPITAL
ABSA CAPITAL,Debt Sponsor,ABSA BANK LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,ABSA BANK LIMITED
NEXIA SAB & T,Audit Firm,AFRICA CELLULAR TOWERS LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,AFRICA CELLULAR TOWERS LIMITED
THE STANDARD BANK OF SA LTD,Sponsor,AFRICA ETF ISSUER LTD (RF)
Transfer Secretaries,Transfer Secretary,AFRICA ETF ISSUER LTD (RF)
KPMG INCORPORATED,Audit Firm,AFRICAN AND OVERSEAS ENTERPRISES LD
