committee_name,person_name,end_date,source_url,organization_id,role,start_date
Labour,Adrian John Williams,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1002,za.org.pa.www/core_organisation/194,Member,
Public Service and Administration,Adrian John Williams,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1002,za.org.pa.www/core_organisation/229,Member,
Ad Hoc Committee on Coordinated Oversight on Service Delivery,Adrian John Williams,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1002,za.org.pa.www/core_organisation/143,Member,
Basic Education,Agnes Christin Mashishi,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/752,za.org.pa.www/core_organisation/165,Member,
Human Settlements,Agnes Christin Mashishi,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/752,za.org.pa.www/core_organisation/183,Member,
Select Committee On Land And Environmental Affairs,Agnes Daphne Noluthando Qikani,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1063,za.org.pa.www/core_organisation/103,Member,
NCOP Land and Environmental Affairs,Agnes Daphne Noluthando Qikani,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1063,za.org.pa.www/core_organisation/204,Chairperson,
NCOP Trade and International Relations,Agnes Daphne Noluthando Qikani,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1063,za.org.pa.www/core_organisation/210,Member,
"NCOP Women, Children and People with Disabilities",Agnes Daphne Noluthando Qikani,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1063,za.org.pa.www/core_organisation/211,Member,
NCOP Economic Development,Agnes Daphne Noluthando Qikani,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1063,za.org.pa.www/core_organisation/200,Alternate Member,
Communications,Alexia Zintle Ndlazi,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/841,za.org.pa.www/core_organisation/169,Member,
Science and Technology,Alexia Zintle Ndlazi,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/841,za.org.pa.www/core_organisation/237,Member,
Basic Education,Alfred Mkhipheni Mpontshane,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/825,za.org.pa.www/core_organisation/165,Member,
Higher Education,Alfred Mkhipheni Mpontshane,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/825,za.org.pa.www/core_organisation/181,Member,
Standing Committee on Appropriations,Alina Mfulo,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/782,za.org.pa.www/core_organisation/136,Member,
Defence,Alpheus Mokabhe Maziya,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/769,za.org.pa.www/core_organisation/173,Alternate Member,
Ad Hoc Committee on General Intelligence Laws Amendment Bill (NA),Alpheus Mokabhe Maziya,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/769,za.org.pa.www/core_organisation/145,Alternate Member,
Defence and Military Veterans,Alpheus Mokabhe Maziya,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/769,za.org.pa.www/core_organisation/174,Alternate Member,
Aesthetics Committee,Alta Rossouw,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1341,za.org.pa.www/core_organisation/678,Committee Member,
Conduct Committee,Alta Rossouw,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1341,za.org.pa.www/core_organisation/679,Committee Member,
Gender Committee,Alta Rossouw,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1341,za.org.pa.www/core_organisation/680,Committee Member,
Rules Committee,Alta Rossouw,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1341,za.org.pa.www/core_organisation/681,Committee Member,
Standing Committee on Community Safety,Alta Rossouw,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1341,za.org.pa.www/core_organisation/682,Committee Member,
Standing Committee on Premier,Alta Rossouw,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1341,za.org.pa.www/core_organisation/683,Committee Member,
Cultural Affairs and Sport,Alta Rossouw,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1341,za.org.pa.www/core_organisation/684,Alternate Member,
Disabled and Youth Committee,Alta Rossouw,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1341,za.org.pa.www/core_organisation/685,Alternate Member,
Public Accounts Committee,Alta Rossouw,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1341,za.org.pa.www/core_organisation/686,Alternate Member,
Standing Committee on Agriculture and environmental Planning,Alta Rossouw,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1341,za.org.pa.www/core_organisation/687,Alternate Member,
Standing Committee on Community Development,Alta Rossouw,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1341,za.org.pa.www/core_organisation/688,Alternate Member,
Standing Committee on Education,Alta Rossouw,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1341,za.org.pa.www/core_organisation/689,Alternate Member,
Standing Committee on Agriculture and environmental Planning,Alta van Zyl,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1342,za.org.pa.www/core_organisation/687,Committee Member,
Standing Committee on Education,Alta van Zyl,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1342,za.org.pa.www/core_organisation/689,Committee Member,
Standing Committee on Social Development,Alta van Zyl,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1342,za.org.pa.www/core_organisation/690,Committee Member,
Petitions Committee,Alta van Zyl,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1342,za.org.pa.www/core_organisation/691,Alternate Member,
