name,pa_url,source_url,org_category,org_classification,popit_id
Ad Hoc Commitee on Commission for Gender Equality (CGE) Forensic Investigation,http://www.pa.org.za/organisation/ad-hoc-commitee-on-commission-for-gender-equality-cge-forensic-investigation/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/138,political,Ad Hoc Committees,za.org.pa.www/core_organisation/138
Ad Hoc Committee in Filling of Vacancies in the Electoral Commission,http://www.pa.org.za/organisation/ad-hoc-committee-in-filling-of-vacancies-in-the-electoral-commission/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/139,,Ad Hoc Committees,za.org.pa.www/core_organisation/139
AdHoc Committee on 1913 Land Act,http://www.pa.org.za/organisation/adhoc-committee-on-1913-land-act/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/153,political,Ad Hoc Committees,za.org.pa.www/core_organisation/153
Ad Hoc Committee on Code of Judicial Conduct and Regulations,http://www.pa.org.za/organisation/ad-hoc-committee-on-code-of-judicial-conduct-and-regulations/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/140,political,Ad Hoc Committees,za.org.pa.www/core_organisation/140
Ad Hoc Committee on Code of Judicial Conduct on Disclosure of Interests (NA),http://www.pa.org.za/organisation/ad-hoc-committee-on-code-of-judicial-conduct-on-disclosure-of-interests-na/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/141,,Ad Hoc Committees,za.org.pa.www/core_organisation/141
Ad Hoc Committee on Code of Judicial Conduct on Disclosure of Interests (NCOP),http://www.pa.org.za/organisation/ad-hoc-committee-on-code-of-judicial-conduct-on-disclosure-of-interests-ncop/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/142,,Ad Hoc Committees,za.org.pa.www/core_organisation/142
Ad Hoc Committee on Coordinated Oversight on Service Delivery,http://www.pa.org.za/organisation/ad-hoc-committee-on-coordinated-oversight-on-service-delivery/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/143,political,Ad Hoc Committees,za.org.pa.www/core_organisation/143
Ad Hoc Committee on Criminal Law (Forensic Procedures) Amendment Bill,http://www.pa.org.za/organisation/ad-hoc-committee-on-criminal-law-forensic-procedures-amendment-bill/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/144,,Ad Hoc Committees,za.org.pa.www/core_organisation/144
Ad Hoc Committee on General Intelligence Laws Amendment Bill (NA),http://www.pa.org.za/organisation/ad-hoc-committee-on-general-intelligence-laws-amendment-bill-na/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/145,political,Ad Hoc Committees,za.org.pa.www/core_organisation/145
Ad Hoc Committee on General Intelligence Laws Amendment Bill (NCOP),http://www.pa.org.za/organisation/ad-hoc-committee-on-general-intelligence-laws-amendment-bill-ncop/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/146,political,Ad Hoc Committees,za.org.pa.www/core_organisation/146
Ad Hoc Committee on Green Paper on National Strategic Planning,http://www.pa.org.za/organisation/ad-hoc-committee-on-green-paper-on-national-strategic-planning/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/147,,Ad Hoc Committees,za.org.pa.www/core_organisation/147
Ad Hoc Committee on Nominations of Persons for Appointment as Electoral Commissioner,http://www.pa.org.za/organisation/ad-hoc-committee-on-nominations-of-persons-for-appointment-as-electoral-commissioner/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/148,,Ad Hoc Committees,za.org.pa.www/core_organisation/148
Ad Hoc Committee on Protection of State Information Bill (NA),http://www.pa.org.za/organisation/ad-hoc-committee-on-protection-of-state-information-bill-na/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/149,,Ad Hoc Committees,za.org.pa.www/core_organisation/149
Ad Hoc Committee on Protection of State Information Bill (NCOP),http://www.pa.org.za/organisation/ad-hoc-committee-on-protection-of-state-information-bill-ncop/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/150,political,Ad Hoc Committees,za.org.pa.www/core_organisation/150
