organization_name,person_name,end_date,source_url,organization_id,role,start_date
Independent Democrats (ID),A A E Seirlis,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/919,za.org.pa.www/core_organisation/73,Member,
Democratic Alliance (DA),Aaron Bhekuyise Khumalo,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/6583,za.org.pa.www/core_organisation/78,Member,
National Freedom Party (NFP),Aaron Thulani Shongwe,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/7754,za.org.pa.www/core_organisation/792,Member,
Al Jama-Ah,Abdool Kader Essop,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/5498,za.org.pa.www/core_organisation/781,Member,
National Freedom Party (NFP),Abdool Razak Ebrahim,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/7659,za.org.pa.www/core_organisation/792,Member,
Al Jama-Ah,Abdool Razak Goolam Noorbhai,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/5493,za.org.pa.www/core_organisation/781,Member,
Congress of the People (COPE),Abdool Razak Jooma,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/5975,za.org.pa.www/core_organisation/75,Member,
Congress of the People (COPE),Abdool Sattar Akoob,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/6093,za.org.pa.www/core_organisation/75,Member,
Al Jama-Ah,Abdullah Abderoef,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/5508,za.org.pa.www/core_organisation/781,Member,
Al Jama-Ah,Abduragiem Abderoef,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/5495,za.org.pa.www/core_organisation/781,Member,
Al Jama-Ah,Abduragiem Orrie,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/5496,za.org.pa.www/core_organisation/781,Member,
