report,company_type,person_name,company_name,source_url
2010Disclosure,-,Agnes Christin Mashishi,Ngwana Me Yanga [Director],http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/752
2010Disclosure,-,Agnes Christin Mashishi,Kgokagamo Trading,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/752
Ethics Full Report 2012,[Dormant],Agnes Christin Mashishi,Whiphold,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/752
Ethics Full Report 2012,[Dormant],Agnes Christin Mashishi,Sifled Trading,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/752
Ethics Full Report 2012,,Agnes Christin Mashishi,Mashishi A Christan,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/752
Ethics Full Report 2012,,Agnes Christin Mashishi,Mahloko Teffo Alfred,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/752
Ethics Full Report 2012,,Agnes Christin Mashishi,Sifled Trading Enterprise,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/752
Ethics Full Report 2012,Private Co.,Agnes Christin Mashishi,Basadi Ke Maatla Construction and General Projects,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/752
Ethics Full Report 2012,CC,Agnes Christin Mashishi,Sifled Trading Enterprise,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/752
Ethics Full Report 2013,General Trading,Agnes Christin Mashishi,Sifled,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/752
2011 2012 MI Full List,Dormant Co.,Agnes Christin Mashishi,Ngwana Me Yanga,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/752
2011 2012 MI Full List,General Trading,Agnes Christin Mashishi,Sifled,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/752
2011 2012 MI Full List,Dormant Co.,Agnes Christin Mashishi,Kgokagano Trading,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/752
2011 2012 MI Full List,Dormant Co.,Agnes Christin Mashishi,Mmaphenyo,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/752
2010Disclosure,Educational tourism,Albert Theo Fritz,Eduwise Volunteers CC [Dormant],http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1338
2010Disclosure,Section 21 Co.,Alfred Mkhipheni Mpontshane,Amakhono Leadership,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/825
2010Disclosure,Dormant,Alfred Mkhipheni Mpontshane,Development Institute,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/825
Ethics Full Report 2012,Dormant Co.,Alfred Mkhipheni Mpontshane,Director - Section 21 Company,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/825
Ethics Full Report 2012,Political Education Training,Alfred Mkhipheni Mpontshane,Amakhono Leadership Development Institute,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/825
Ethics Full Report 2013,[Dormant],Alfred Mkhipheni Mpontshane,Amakhono Leadership Development Institute,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/825
2011 2012 MI Full List,Section 21 Company [Dormant],Alfred Mkhipheni Mpontshane,Development Institute,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/825
Ethics Full Report 2013,Events Management,Alina Mfulo,Thandine Mfulo Trading,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/782
Ethics Full Report 2013,Construction &amp; Supplies,Alina Mfulo,WOE Construction,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/782
Ethics Full Report 2012,Events Management [Dormant],Alina Mfulo,Diamond Ronett Promotions,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/782
Ethics Full Report 2012,Construction work,Alina Mfulo,WOE [50%] Construction,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/782
2010Disclosure,CC [Deregistration process],A Louw,Phatsimang Security,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/701
2010Disclosure,CC [Deregistration process],A Louw,Spot on Fotoshop,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/701
2010Disclosure,CC [Deregistration process],A Louw,Teemaneng Agri Mining,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/701
2010Disclosure,Consulting engineering,Alpheus Mokabhe Maziya,Scip Engineering,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/769
2010Disclosure,CC,Alpheus Mokabhe Maziya,Thebeyapelo Financial Services,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/769
