person_name,nature,number,source_url,company_name,report,nominal_value
Agnes Christin Mashishi,Shares,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/752,Whiphold Mining Activity,Ethics Full Report 2012,
Agnes Christin Mashishi,,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/752,TVI Express Network,Ethics Full Report 2012,
Agnes Christin Mashishi,,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/752,Sawima Holdings,Ethics Full Report 2013,R500
Agnes Christin Mashishi,,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/752,Sawim Holdings,2011 2012 MI Full List,R500
Alina Mfulo,Share,300,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/782,Old Mutual,Ethics Full Report 2013,
Alina Mfulo,Share,25,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/782,Sasol Inzalo,Ethics Full Report 2013,
Alina Mfulo,,300,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/782,Old Mutual,Ethics Full Report 2012,
Alpheus Mokabhe Maziya,Ordinary,445,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/769,Asonge,2010Disclosure,
Alpheus Mokabhe Maziya,Ordinary,27,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/769,Sasol,2010Disclosure,
Alpheus Mokabhe Maziya,Ordinary,25 1/2,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/769,Scip engineering,2010Disclosure,
Alpheus Mokabhe Maziya,Ordinary,5,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/769,Frontline,2010Disclosure,
Alpheus Mokabhe Maziya,Ordinary,5%,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/769,Frontline,Ethics Full Report 2012,
Alpheus Mokabhe Maziya,Ordinary,5%,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/769,Ratakuwa,Ethics Full Report 2012,
Alpheus Mokabhe Maziya,Ordinary,25%,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/769,Scip Engineering,Ethics Full Report 2012,
Alpheus Mokabhe Maziya,Ordinary,10%,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/769,Phoebus Apollo,Ethics Full Report 2012,
Alpheus Mokabhe Maziya,Not for gain,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/769,Nokwanda Housing,Ethics Full Report 2012,
Alpheus Mokabhe Maziya,,4,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/769,Ratakuwa,Ethics Full Report 2013,
Alpheus Mokabhe Maziya,,4,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/769,Frontline,Ethics Full Report 2013,
Alpheus Mokabhe Maziya,,20%,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/769,SCIP,2011 2012 MI Full List,
Alpheus Mokabhe Maziya,,5%,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/769,Frontline International,2011 2012 MI Full List,
Alpheus Mokabhe Maziya,,10%,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/769,Phoebus Apollo,2011 2012 MI Full List,
Anchen Margaretha Dreyer,Annuity Funds,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/610,Sanlam,2010Disclosure,"R400,561"
Anchen Margaretha Dreyer,Shares,"1,100",http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/610,Old Mutual,2010Disclosure,"+-R50,000"
Anchen Margaretha Dreyer,Preservation Pension Plan,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/610,Momentum,2010Disclosure,"+-R50,000"
Anchen Margaretha Dreyer,Trust,503,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/610,Sanlam,2010Disclosure,"+-R10,000"
Anchen Margaretha Dreyer,Life Policy,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/610,Old Mutual,2010Disclosure,"+-R200,000"
Anchen Margaretha Dreyer,,Portfolio of managed investments,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/610,Kruger International,Ethics Full Report 2012,
Anchen Margaretha Dreyer,,Portfolio of managed investments,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/610,Kruger International,Ethics Full Report 2013,
Anchen Margaretha Dreyer,Uittree Annuiteite,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/610,Sanlam,2011 2012 MI Full List,
Anchen Margaretha Dreyer,[Diskresionele beleggings],,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/610,Sanlam; Private Investments,2011 2012 MI Full List,
Andrew Mlangeni,Ordinary,1000,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/792,Allied Technologies,2010Disclosure,"R49,950.00"
Andrew Mlangeni,Ordinary,1800,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/792,Nampak Ltd Ord.,2010Disclosure,"R22,950.00"
Andrew Mlangeni,Ordinary,81000,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/792,White Water Resources Ltd,2010Disclosure,"R13,770.00"
Andrew Mlangeni,Ordinary,1 000,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/792,Allied Technologies,Ethics Full Report 2012,R49 950
Andrew Mlangeni,Ordinary,1 800,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/792,Nampak Ltd,Ethics Full Report 2012,R25 850
Andrew Mlangeni,Ordinary,81 000,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/792,White Water Resources Ltd,Ethics Full Report 2012,R15 880
Andrew Mlangeni,,1 000,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/792,Allied Technologies,Ethics Full Report 2013,R49 950
Andrew Mlangeni,,1 800,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/792,Nampak Ltd,Ethics Full Report 2013,R25 850
Andrew Mlangeni,,81 000,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/792,White Water Resources Ltd.,Ethics Full Report 2013,R15 880
Andrew Mlangeni,Ordinary,1 000,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/792,Allied Technologies,2011 2012 MI Full List,R49 950
Andrew Mlangeni,Ordinary,1 800,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/792,Nampak Ltd Ord.,2011 2012 MI Full List,R25 850
Andrew Mlangeni,Ordinary,81 000,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/792,White Water Resources Ltd,2011 2012 MI Full List,R15 880
Andricus Pieter Van der Westhuizen,Ordinary,-,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/996,Sanlam Ltd,2010Disclosure,"R20,000"
Andricus Pieter Van der Westhuizen,Ordinary,-,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/996,Old Mutual Ltd,2010Disclosure,"R20,000"
Andricus Pieter Van der Westhuizen,Ordinary,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/996,Sanlam Ltd,Ethics Full Report 2012,R10 000+
Andricus Pieter Van der Westhuizen,Ordinary,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/996,Old Mutual Ltd,Ethics Full Report 2012,R10 000+
Andricus Pieter Van der Westhuizen,Ordinary,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/996,Old Mutual,Ethics Full Report 2013,R20 000
Andricus Pieter Van der Westhuizen,Ordinary,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/996,Sanlam,Ethics Full Report 2013,R20 000
Andricus Pieter Van der Westhuizen,Ordinary Shares,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/996,Sanlam Ltd,2011 2012 MI Full List,Less than R5 000
Andricus Pieter Van der Westhuizen,Ordinary Shares,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/996,Old Mutual Ltd,2011 2012 MI Full List,Less than R5 000
Andries Carl Nel,Ordinary,300,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/844,Sanlam,2010Disclosure,"R7,182.00"
Andries Carl Nel,Exchange security,3118,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/844,Satrix,2010Disclosure,"R78,578.55"
Andries Carl Nel,,1,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/844,Media Inv.,2010Disclosure,R1000
Andries Carl Nel,,1,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/844,Moshito Inv.,2010Disclosure,R250.00
Andries Carl Nel,Unit Trust,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/844,Stanlib Money Market,2010Disclosure,R240.000
Andries Carl Nel,Ordinary,300,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/844,Sanlam,Ethics Full Report 2012,
Andries Carl Nel,Exchange Traded SEc,5 694,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/844,Satrix,Ethics Full Report 2012,
Andries Carl Nel,Unit Trusts,Variable,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/844,Stanlib Money Market,Ethics Full Report 2012,
Andries Carl Nel,Ordinary,300,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/844,Sanlam,Ethics Full Report 2013,
