name,pa_url,source_url,org_category,org_classification,popit_id
African Christian Democratic Party (ACDP),http://www.pa.org.za/organisation/acdp/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/81,political,Party,za.org.pa.www/core_organisation/81
Agang South Africa (AGANG SA),http://www.pa.org.za/organisation/agang-sa/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/780,political,Party,za.org.pa.www/core_organisation/780
African Independent Congress,http://www.pa.org.za/organisation/aic/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/709,political,Party,za.org.pa.www/core_organisation/709
Al Jama-Ah,http://www.pa.org.za/organisation/al-jama-ah/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/781,political,Party,za.org.pa.www/core_organisation/781
African National Congress (ANC),http://www.pa.org.za/organisation/anc/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/77,political,Party,za.org.pa.www/core_organisation/77
African National Party (ANP),http://www.pa.org.za/organisation/anp/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/779,political,Party,za.org.pa.www/core_organisation/779
African People's Convention (APC),http://www.pa.org.za/organisation/apc/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/76,political,Party,za.org.pa.www/core_organisation/76
Azanian People's Organisation (AZAPO),http://www.pa.org.za/organisation/azapo/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/80,political,Party,za.org.pa.www/core_organisation/80
Bushbuckridge Residents Association (BRA),http://www.pa.org.za/organisation/bra/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/782,political,Party,za.org.pa.www/core_organisation/782
Congress of the People (COPE),http://www.pa.org.za/organisation/cope/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/75,political,Party,za.org.pa.www/core_organisation/75
Democratic Alliance (DA),http://www.pa.org.za/organisation/da/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/78,political,Party,za.org.pa.www/core_organisation/78
Economic Freedom Fighters (EFF),http://www.pa.org.za/organisation/eff/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/810,political,Party,za.org.pa.www/core_organisation/810
"Freedom Front + (Vryheidsfront Plus, FF+)",http://www.pa.org.za/organisation/ff/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/83,political,Party,za.org.pa.www/core_organisation/83
First Nation Liberation Alliance (FINLA),http://www.pa.org.za/organisation/finla/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/783,political,Party,za.org.pa.www/core_organisation/783
Front Nasionaal/Front National (FN),http://www.pa.org.za/organisation/fn/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/784,political,Party,za.org.pa.www/core_organisation/784
Independent Civic Organisation of South Africa (ICOSA),http://www.pa.org.za/organisation/icosa/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/785,political,Party,za.org.pa.www/core_organisation/785
Independent Democrats (ID),http://www.pa.org.za/organisation/id/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/73,political,Party,za.org.pa.www/core_organisation/73
