family_name,given_name,name,pa_url,summary,telephone_number,email,popit_id,source_url
Seirlis,A A E,A A E Seirlis,http://www.pa.org.za/person/a-a-e-seirlis/,,,,za.org.pa.www/core_person/919,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/919
Khumalo,Aaron Bhekuyise,Aaron Bhekuyise Khumalo,http://www.pa.org.za/person/aaron-bhekuyise-khumalo/,,,,za.org.pa.www/core_person/6583,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/6583
Shongwe,Aaron Thulani,Aaron Thulani Shongwe,http://www.pa.org.za/person/aaron-thulani-shongwe/,,,,za.org.pa.www/core_person/7754,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/7754
Essop,Abdool Kader,Abdool Kader Essop,http://www.pa.org.za/person/abdool-kader-essop/,,,,za.org.pa.www/core_person/5498,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/5498
Ebrahim,Abdool Razak,Abdool Razak Ebrahim,http://www.pa.org.za/person/abdool-razak-ebrahim/,,,,za.org.pa.www/core_person/7659,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/7659
Noorbhai,Abdool Razak Goolam,Abdool Razak Goolam Noorbhai,http://www.pa.org.za/person/abdool-razak-goolam-noorbhai/,,,,za.org.pa.www/core_person/5493,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/5493
Jooma,Abdool Razak,Abdool Razak Jooma,http://www.pa.org.za/person/abdool-razak-jooma/,,,,za.org.pa.www/core_person/5975,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/5975
Akoob,Abdool Sattar,Abdool Sattar Akoob,http://www.pa.org.za/person/abdool-sattar-akoob/,,,,za.org.pa.www/core_person/6093,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/6093
Abderoef,Abdullah,Abdullah Abderoef,http://www.pa.org.za/person/abdullah-abderoef/,,,,za.org.pa.www/core_person/5508,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/5508
Abderoef,Abduragiem,Abduragiem Abderoef,http://www.pa.org.za/person/abduragiem-abderoef/,,,,za.org.pa.www/core_person/5495,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/5495
Orrie,Abduragiem,Abduragiem Orrie,http://www.pa.org.za/person/abduragiem-orrie/,,,,za.org.pa.www/core_person/5496,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/5496
Molete,Abea Seganeleng Melicia,Abea Seganeleng Melicia Molete,http://www.pa.org.za/person/abea-seganeleng-melicia-molete/,,,,za.org.pa.www/core_person/8820,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/8820
Mongalo,Abednigo Mendi,Abednigo Mendi Mongalo,http://www.pa.org.za/person/abednigo-mendi-mongalo/,,,,za.org.pa.www/core_person/4914,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/4914
Khoza,Abednigo Vusumuzi,Abednigo Vusumuzi Khoza,http://www.pa.org.za/person/abednigo-vusumuzi-khoza/,,,,za.org.pa.www/core_person/7088,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/7088
Oosthuizen,Abel Hermanus Johannes,Abel Hermanus Johannes Oosthuizen,http://www.pa.org.za/person/abel-hermanus-johannes-oosthuizen/,,,,za.org.pa.www/core_person/7854,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/7854
Hanong,Abel Lefu,Abel Lefu Hanong,http://www.pa.org.za/person/abel-lefu-hanong/,,,,za.org.pa.www/core_person/6097,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/6097
,,Abel Sadiki,http://www.pa.org.za/person/abel-sadiki/,,079 650 9977    072 740 5580,,za.org.pa.www/core_person/3657,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/3657
Ntsoele,Abel Thulo,Abel Thulo Ntsoele,http://www.pa.org.za/person/abel-thulo-ntsoele/,,,,za.org.pa.www/core_person/5717,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/5717
,,Abel Van Wyk,http://www.pa.org.za/person/abel-van-wyk/,,078 858 6 493,,za.org.pa.www/core_person/3725,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/3725
Mabuza,Abel Zion,Abel Zion Mabuza,http://www.pa.org.za/person/abel-zion-mabuza/,,,,za.org.pa.www/core_person/8236,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/8236
Mathole,Abetinico,Abetinico Mathole,http://www.pa.org.za/person/abetinico-mathole/,,,,za.org.pa.www/core_person/6901,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/6901
